degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std,n_success
1,low,silverman,0.1603489502628578,0.015640097052735853,0.2786449636985598,0.007326457468144538,0.5382893996642635,0.035275817993928725,0.1520002323422701,0.013664073283064102,300
1,low,cv,0.15741983449684657,0.01787866086189703,0.2657064562871076,0.009627819706033729,0.509570543506484,0.022250126567481966,12.412129932712903,11.012702264759534,300
1,low,loocv,0.14591266493610672,0.01600642827179989,0.26189743832638784,0.009205505007240556,0.5175087143803099,0.02293735434145398,14.467732182629394,10.683762294235732,300
1,moderate,silverman,0.17600696065356516,0.02943967408417145,0.2770477659636866,0.00948697266766364,0.5318153703040325,0.03153784189966474,0.15216213228986125,0.014006894920117403,300
1,moderate,cv,0.16734147726988965,0.03458476870699792,0.25572507562966934,0.011924692237227023,0.5205091882127719,0.03195614090151686,13.720972091705583,10.826386910695268,300
1,moderate,loocv,0.17932850273278825,0.03544421256007498,0.2649788815352862,0.012146931105873605,0.5393019159775865,0.031355477320296934,14.882876642843549,10.577616821746457,300
1,high,silverman,0.17755067999467278,0.019021569788944776,0.2820032405480276,0.007961470935954229,0.5335308321242413,0.036043881777493035,0.1513452204927144,0.013311350594813698,300
1,high,cv,0.1615693319615347,0.016506456213240712,0.2700142273759276,0.009735503495789827,0.5362304927924654,0.025701864754159306,12.26671538271704,11.126608546550377,300
1,high,loocv,0.15046939660280784,0.014017009880631965,0.2674062459102323,0.00919656616566348,0.5164453153170031,0.021720723313790286,13.654192921352909,10.895084917780572,300
2,low,silverman,0.4213023734961102,0.02929821115022574,0.47774741719234254,0.017003037990329928,0.7876174834443371,0.0313988677368841,0.15132664078984112,0.013387878614763385,300
2,low,cv,1.2179809489139668,0.7444994656187591,0.41636111325305436,0.018294938287443947,1.0986110404856557,0.38002976781840847,1.3404090291428399,5.098547299981387,300
2,low,loocv,0.319609142901464,0.03189775663174529,0.3886310578275827,0.009967872304114823,0.6949694452408725,0.02831420795032439,0.9916638839298836,4.343745318336261,300
2,moderate,silverman,0.26615798095586757,0.019718064925455442,0.3830538191904132,0.012629971478437592,0.6466815520221765,0.024278607639764284,0.15117917844014309,0.013378284848050178,300
2,moderate,cv,0.36673975534054865,0.07692737723227139,0.3732058596018306,0.012159830368403589,0.6822744581052687,0.031076503689741422,2.2505418644941284,6.487596020588147,300
2,moderate,loocv,0.3795888158894932,0.08171812546457514,0.36845426602115233,0.012099614653739276,0.6563781018983792,0.026020222262985424,2.4002958495671347,6.637668047063167,300
2,high,silverman,0.25012989703172905,0.02614558201813469,0.35560310977845366,0.012391706409526191,0.6170492934471211,0.02993262671583016,0.15141917930606208,0.013002082319092867,300
2,high,cv,0.2801839929385393,0.034786810514802285,0.35709960743751606,0.011634365576644257,0.6175707290282176,0.027982496417384803,3.935972577656203,8.399557178217707,300
2,high,loocv,0.41105167463306236,0.11035999253036997,0.3657802958540651,0.01375077302398901,0.7266271429721197,0.056641544605975334,3.8953996485917766,8.340602569296877,300
3,low,silverman,0.44211922771181295,0.04310732845989448,0.46857735362344877,0.01747683084901041,0.8136252417815503,0.03486905904236888,0.15226959830345146,0.012155518129946167,300
3,low,cv,0.6372245143720657,0.19810618025986337,0.41855459634009273,0.013626592705411555,0.7542792195285559,0.04257403821841432,2.5004314721038052,7.0258936704236765,300
3,low,loocv,0.462640547515365,0.1193799391297898,0.40583393150260333,0.01198702451297537,0.7219741565445933,0.028927044335719302,2.427955967221223,6.91765331195245,300
3,moderate,silverman,0.3237674870435016,0.03804181229410862,0.39569838636157195,0.013032060924746855,0.6728209450789685,0.027940334739478254,0.15174039690511704,0.01370485950701554,300
3,moderate,cv,0.4197529190494047,0.07050786477785106,0.39982412268767975,0.012927684036526792,0.7374774393933524,0.04087503410357201,2.5983801874688943,6.999142688894211,300
3,moderate,loocv,0.4240691270311953,0.05894659289602903,0.40182567774586614,0.012764749061659508,0.7582248802335454,0.04203364630772601,2.600242245371658,7.0242671151932194,300
3,high,silverman,0.19432335537993392,0.0191094000623802,0.31916571608523975,0.009864804823327088,0.5771839170084718,0.030754126770315002,0.15108030098385972,0.01246938247539291,300
3,high,cv,0.2600883189436477,0.04291356053191322,0.33319849023141934,0.009554871070681044,0.5737962357363402,0.02295552344558632,3.04230854362564,7.444576625036961,300
3,high,loocv,0.3576823635304441,0.11454591794402436,0.3435248679071638,0.011813602522243309,0.6136967838281424,0.0318015500410448,3.401299217262123,7.887878373994531,300
4,low,silverman,0.6528989244515767,0.07780612072901688,0.541412306191167,0.02107748917313867,0.9460192250316506,0.04216015558439722,0.1516429027197063,0.013485169538069325,300
4,low,cv,24.97290832842569,24.53440330316096,0.45611775169949303,0.03581048382651309,0.7666471043665737,0.03292277502807297,1.088729238420577,4.572560226122727,300
4,low,loocv,301.90801386018484,301.0005361644012,0.7849994710490185,0.36457281349152554,5.332365346973206,4.554013065866278,1.11212287618943,4.571724375259177,300
4,moderate,silverman,0.38973091809098565,0.03494676886011632,0.42884682686181824,0.01571245085475667,0.7473980961235933,0.0308753080876769,0.15209417338753412,0.013924309468989059,300
4,moderate,cv,0.3837322033047478,0.04550962895271202,0.3980090906402281,0.011674737846322945,0.7523774544289378,0.04479927508203696,2.010647073974522,6.240641802206692,300
4,moderate,loocv,0.3933153300876974,0.05711436066053803,0.39457174363185915,0.012144782067280849,0.7456010891998637,0.03832533580100968,1.8832885528264767,6.067443135528223,300
4,high,silverman,0.29474766375766887,0.04128683815875493,0.36946170840358944,0.013086193207325266,0.6482213507734019,0.03456514529563673,0.15213940065944817,0.01381412770832445,300
4,high,cv,0.40899303337586335,0.09147758704536996,0.3844804585033041,0.012862135862524856,0.707545082369881,0.030954260336962997,1.6581731474937218,5.5701504936297095,300
4,high,loocv,0.3862634106835673,0.09130337834446371,0.3802826272660761,0.012429402375610125,0.7405851059061932,0.04762472424623,2.0175968180898805,6.210394423286009,300
5,low,silverman,0.7859452273593697,0.06951189928191132,0.605627862108487,0.021222613709934994,1.1196223822449334,0.04348703915797334,0.1528023491656183,0.013413021153988187,300
5,low,cv,1.774845428470356,0.8957887812888892,0.48094912823628383,0.025156615425480373,1.0495316631782372,0.10598937751723418,1.0502112941894295,4.5081219172315485,300
5,low,loocv,1.145734720150741,0.4771155008761526,0.4747167288494947,0.01991762066933283,0.9459604842020722,0.07058607566960708,0.9313686482008969,4.238668473517839,300
5,moderate,silverman,0.4132577772067761,0.030701772551591396,0.45404033476210315,0.014146367519218292,0.8239489696558748,0.03243206842758231,0.15279978409780537,0.01372201868398295,300
5,moderate,cv,0.4702240655244403,0.07300499208634745,0.4138220309780069,0.011908841327124676,0.8194531887953078,0.05406432040302434,1.7194330909288678,5.784501683841313,300
5,moderate,loocv,0.5341555872054484,0.16347829603575942,0.4069446442024024,0.014315560772854726,0.8210037815754266,0.05515926640635493,1.4451122162156351,5.294929802613724,300
5,high,silverman,0.3026799531922618,0.026729211170142035,0.3803200556737762,0.011414240002699074,0.6526443860833182,0.030441011679846232,0.15140594275137953,0.012754044302815713,300
5,high,cv,0.410326215496973,0.07405378236902234,0.39110043880393036,0.011599218563142352,0.659713878098773,0.023994093769974145,1.829322849314292,5.923726875299519,300
5,high,loocv,1.2189933991284705,0.8774971833430681,0.4007793065133749,0.017973274676545484,0.678529176333516,0.02793597695900887,1.7384120537919618,5.839486962351912,300
6,low,silverman,0.9720951992621313,0.07322310491657447,0.6604086892467164,0.022155166703574765,1.2806301686869501,0.05131975005340438,0.15167840728068982,0.013100269081497584,300
6,low,cv,0.6548596236673202,0.10321516264581639,0.47050601346495124,0.01301189076311334,0.9208504888627469,0.05236706997104552,0.7440685529176659,3.8708826088601826,300
6,low,loocv,0.6523076227202221,0.09795087083801854,0.4680912407106117,0.012889017301365293,0.8536836752132593,0.03290320987845223,0.9759065469388772,4.555866554935535,300
6,moderate,silverman,0.5909359094484663,0.07936932166291766,0.4991057001384231,0.01838985955093387,0.9401990744393934,0.042941837221938776,0.15085863856719706,0.012177718086692744,300
6,moderate,cv,1.8169592868311588,1.30122326769466,0.43640493909956757,0.025009024965100386,0.8646600802779926,0.1021512314344353,0.8822154869080134,4.082223193336616,300
6,moderate,loocv,1.7369906420650583,1.279924324214045,0.4311076256571002,0.02447338538095446,0.8316071562001494,0.07534120000348768,0.8564614691451853,4.031255592843881,300
6,high,silverman,0.320134499583939,0.03469514351795316,0.396237090627431,0.01237768472617713,0.6834960581952076,0.02638746820332063,0.15218093436773453,0.013077896055363079,300
6,high,cv,0.3156266427500322,0.03061866676690005,0.3848387915674013,0.010028419359654765,0.7523545354695803,0.039625210356963064,1.6195928909142014,5.660249218409468,300
6,high,loocv,0.47976950465420676,0.14015853593241615,0.3916222728550355,0.012833851110618556,0.9590701639522626,0.16497929046818047,1.6937726489080545,5.801666724918684,300
